Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,KDA,Ban %,Fighter,Mage,Assassin,Marksman,Tank,Support
Jhin,Marksman,ADC,6,94.23,3.23,0.5103,0.9902,0.2455,3.01,0.0581,0,0,0,1,0,0
Jinx,Marksman,ADC,6,86.76,-1.22,0.5132,0.9951,0.2227,2.43,0.0698,0,0,0,1,0,0
Kai'Sa,Marksman,ADC,6,75.52,10.5,0.4948,0.9777,0.1945,2.42,0.0595,0,0,0,1,0,0
Kalista,Marksman,ADC,1,31.51,-0.06,0.4903,0.9141,0.0153,2.3,0.0027,0,0,0,1,0,0
Karma,Mage,SUPPORT,5,63.43,6.96,0.4891,0.9205,0.1022,2.73,0.0296,0,1,0,0,0,0
Karthus,Mage,ADC,3,42.26,-1.65,0.5498,0.2105,0.0095,2.23,0.033,0,1,0,0,0,0
Karthus,Mage,MID,3,42.13,3.77,0.5258,0.1176,0.0041,2.19,0.033,0,1,0,0,0,0
Karthus,Mage,JUNGLE,3,39.58,0.6,0.4939,0.578,0.0209,2.45,0.033,0,1,0,0,0,0
Kassadin,Assassin,MID,4,58.16,-7.74,0.5142,0.9704,0.0454,2.49,0.1443,0,0,1,0,0,0
Katarina,Assassin,MID,5,61.99,-0.88,0.4959,0.9472,0.0712,2.29,0.0989,0,0,1,0,0,0
Kayle,Fighter,TOP,4,48.25,-5.26,0.5071,0.7251,0.0311,1.8,0.0119,1,0,0,0,0,0
Kayle,Fighter,MID,3,40.73,-8.21,0.5063,0.2567,0.0097,2.28,0.0119,1,0,0,0,0,0
Kayn,Fighter,JUNGLE,5,69.12,1.38,0.4995,0.978,0.097,2.41,0.1218,1,0,0,0,0,0
Kennen,Mage,MID,3,40.4,-1.04,0.5135,0.15,0.0034,2.37,0.0067,0,1,0,0,0,0
Kennen,Mage,TOP,2,35.49,0.47,0.4862,0.835,0.02,1.98,0.007,0,1,0,0,0,0
Kha'Zix,Assassin,JUNGLE,5,60.25,-2.33,0.5017,0.9888,0.0747,2.47,0.0701,0,0,1,0,0,0
Kindred,Marksman,JUNGLE,3,46.69,-1.77,0.5047,0.9182,0.0387,2.26,0.0249,0,0,0,1,0,0
Kled,Fighter,MID,4,48.84,0,0.5514,0.1023,0.0019,2.7,0.0083,1,0,0,0,0,0
Kled,Fighter,TOP,3,40.27,-4.86,0.5036,0.8847,0.0169,2.32,0.0078,1,0,0,0,0,0
Kog'Maw,Marksman,ADC,3,39.8,-2.8,0.5279,0.8917,0.0198,2.21,0.0044,0,0,0,1,0,0
LeBlanc,Assassin,MID,4,59.14,-1.18,0.4885,0.9488,0.0579,2.82,0.1195,0,0,1,0,0,0
Lee Sin,Fighter,JUNGLE,6,91.89,0.28,0.4845,0.9661,0.1529,2.82,0.1626,1,0,0,0,0,0
Leona,Tank,SUPPORT,5,65.44,-0.99,0.4961,0.9942,0.0988,2.34,0.1397,0,0,0,0,1,0
Lillia,Fighter,JUNGLE,3,42.51,-1.69,0.4935,0.8539,0.0274,2.66,0.0095,1,0,0,0,0,0
Lillia,,TOP,1,24.34,-9.25,0.492,0.1149,0.004,1.96,0.0101,,,,,,
Lissandra,Mage,MID,4,47.29,1.22,0.5065,0.9116,0.0272,2.41,0.0066,0,1,0,0,0,0
Lucian,Marksman,ADC,4,48.48,-7.7,0.4926,0.8634,0.0884,2.25,0.0312,0,0,0,1,0,0
Lulu,Support,SUPPORT,6,93.56,0.75,0.5084,0.9772,0.143,3.12,0.2568,0,0,0,0,0,1
Lux,Mage,SUPPORT,6,82.29,-6.67,0.5026,0.6848,0.1464,2.53,0.1226,0,1,0,0,0,0
Lux,Mage,MID,5,66.92,-0.9,0.5108,0.293,0.0648,2.97,0.1226,0,1,0,0,0,0
Malphite,Tank,TOP,5,67.63,5.41,0.5119,0.7504,0.0468,2.41,0.0401,0,0,0,0,1,0
Malphite,Tank,MID,3,40.23,-3.72,0.5049,0.1199,0.0071,2.4,0.0401,0,0,0,0,1,0
Malphite,Tank,SUPPORT,1,29.17,-1.81,0.4613,0.1103,0.0078,2.05,0.0412,0,0,0,0,1,0
Malzahar,Mage,MID,4,49.57,5.18,0.5092,0.9135,0.0343,2.22,0.0303,0,1,0,0,0,0
Maokai,Tank,SUPPORT,3,39.51,-0.65,0.5016,0.8013,0.0146,2.23,0.0016,0,0,0,0,1,0
Maokai,Tank,TOP,1,24.65,-6.31,0.4913,0.1724,0.0032,2.1,0.0017,0,0,0,0,1,0
Master Yi,Assassin,JUNGLE,5,64.59,-3.49,0.4974,0.9304,0.0764,2.02,0.1896,0,0,1,0,0,0
Miss Fortune,Marksman,ADC,4,50.67,-1.8,0.501,0.9535,0.0887,2.3,0.0212,0,0,0,1,0,0
Mordekaiser,Fighter,TOP,5,65.95,14.48,0.4982,0.8743,0.0531,1.79,0.0599,1,0,0,0,0,0
Morgana,Mage,SUPPORT,5,71.03,-1.92,0.4976,0.9249,0.0913,2.51,0.2695,0,1,0,0,0,0
Nami,Support,SUPPORT,5,73.29,-2.3,0.5152,0.9976,0.113,3.24,0.026,0,0,0,0,0,1
Nasus,Fighter,TOP,5,64.96,7.18,0.5183,0.851,0.0449,1.98,0.0436,1,0,0,0,0,0
Nautilus,Tank,SUPPORT,5,60.25,2.25,0.4981,0.9825,0.0869,2.32,0.0777,0,0,0,0,1,0
Neeko,Mage,MID,2,37.75,0.46,0.4866,0.623,0.013,2.22,0.0028,0,1,0,0,0,0
Neeko,Mage,SUPPORT,1,31.53,2.13,0.4799,0.2338,0.005,1.95,0.003,0,1,0,0,0,0
Nidalee,Assassin,JUNGLE,4,49.1,-0.37,0.4898,0.9241,0.0441,2.95,0.0264,0,0,1,0,0,0
Nocturne,Assassin,JUNGLE,3,39.71,-6.54,0.4805,0.8682,0.0312,2.39,0.0324,0,0,1,0,0,0
Nunu,Tank,JUNGLE,4,55.47,0.61,0.5179,0.8952,0.0435,3.04,0.0238,0,0,0,0,1,0
Olaf,Fighter,JUNGLE,2,36.61,5.55,0.4907,0.8479,0.0148,2.45,0.0085,1,0,0,0,0,0
Olaf,Fighter,TOP,1,11.03,-6.16,0.4546,0.1564,0.0027,1.63,0.0092,1,0,0,0,0,0
Orianna,Mage,MID,4,47.05,1.97,0.4956,0.9543,0.0289,2.66,0.0018,0,1,0,0,0,0
Ornn,Tank,TOP,4,59.57,4.58,0.5083,0.9419,0.0404,2.3,0.0043,0,0,0,0,1,0
Pantheon,Fighter,MID,3,41.54,-2.49,0.508,0.2731,0.0116,2.25,0.0089,1,0,0,0,0,0
Pantheon,Fighter,SUPPORT,1,32.78,-2.48,0.47,0.3976,0.0178,1.89,0.0089,1,0,0,0,0,0
Pantheon,Fighter,TOP,1,30.79,-10.85,0.4968,0.2673,0.0093,2.1,0.0089,1,0,0,0,0,0
Poppy,Tank,JUNGLE,3,41.6,-2.14,0.4959,0.4797,0.023,2.65,0.023,0,0,0,0,1,0
Poppy,Tank,TOP,3,39.88,-5.73,0.4978,0.4337,0.0198,2.14,0.023,0,0,0,0,1,0
Pyke,Support,SUPPORT,5,59.89,-0.91,0.4935,0.883,0.0857,2.17,0.1277,0,0,0,0,0,1
Qiyana,Assassin,MID,4,56.52,2.17,0.5104,0.5868,0.0473,2.14,0.1369,0,0,1,0,0,0
Qiyana,Assassin,JUNGLE,3,42.89,-0.24,0.4892,0.3784,0.0294,2.42,0.1369,0,0,1,0,0,0
Quinn,Marksman,TOP,2,36.42,-5.78,0.5171,0.8336,0.0119,1.89,0.0051,0,0,0,1,0,0
Rakan,Support,SUPPORT,4,54.12,-1.22,0.5052,0.9847,0.0555,2.94,0.0041,0,0,0,0,0,1
Rammus,Tank,JUNGLE,4,48.15,0.36,0.5171,0.9345,0.0241,2.9,0.0314,0,0,0,0,1,0
Rek'Sai,Fighter,JUNGLE,4,49.57,-0.79,0.514,0.9679,0.0369,2.51,0.0252,1,0,0,0,0,0
Rell,Tank,SUPPORT,3,42.96,0.27,0.5061,0.9947,0.0213,2.42,0.0049,0,0,0,0,1,0
Renekton,Fighter,TOP,4,50.6,6.84,0.4817,0.8648,0.041,1.91,0.0205,1,0,0,0,0,0
Renekton,Fighter,MID,3,41.32,3.85,0.5178,0.1293,0.0063,2.19,0.0205,1,0,0,0,0,0
Rengar,Assassin,JUNGLE,3,39.34,3.97,0.4844,0.7799,0.0297,2.28,0.0268,0,0,1,0,0,0
Rengar,Assassin,TOP,1,22.41,-8.95,0.4743,0.2091,0.0091,1.77,0.0231,0,0,1,0,0,0
Riven,Fighter,TOP,5,65.68,6.18,0.513,0.9186,0.0488,1.99,0.023,1,0,0,0,0,0
Rumble,Fighter,MID,3,45.65,1.36,0.5228,0.3776,0.0095,2.64,0.0026,1,0,0,0,0,0
Rumble,Fighter,JUNGLE,2,36.12,1.29,0.4965,0.1354,0.0031,2.82,0.0026,1,0,0,0,0,0
Rumble,Fighter,TOP,1,25.32,-2.02,0.4757,0.466,0.0101,2.02,0.0026,1,0,0,0,0,0
Ryze,Mage,MID,2,35.12,-1.72,0.4597,0.8239,0.0215,2.15,0.002,0,1,0,0,0,0
Ryze,Mage,TOP,1,14.3,-7.36,0.4591,0.1626,0.0043,1.74,0.002,0,1,0,0,0,0
Samira,Marksman,ADC,3,44.4,-3.44,0.4852,0.981,0.0722,2.19,0.1115,0,0,0,1,0,0
Sejuani,Tank,JUNGLE,3,40.92,-8.34,0.4826,0.8205,0.0229,3.09,0.0031,0,0,0,0,1,0
Sejuani,Tank,TOP,1,30.67,-2.66,0.505,0.1318,0.0032,2.43,0.0034,0,0,0,0,1,0
Senna,Marksman,SUPPORT,3,46.43,-2.7,0.482,0.8515,0.0494,2.54,0.0152,0,0,0,1,0,0
Senna,Marksman,ADC,2,36.3,-2.53,0.5062,0.1318,0.007,2.82,0.0152,0,0,0,1,0,0
Seraphine,Mage,ADC,3,45.21,5.14,0.5415,0.1688,0.0071,3.07,0.0103,0,1,0,0,0,0
Seraphine,Mage,MID,3,42.18,-1.79,0.5009,0.1562,0.0076,2.9,0.0103,0,1,0,0,0,0
Seraphine,Mage,SUPPORT,3,39.72,-1.97,0.4666,0.6722,0.0369,2.47,0.0103,0,1,0,0,0,0
Sett,Fighter,TOP,6,90.23,15.56,0.496,0.8389,0.0823,1.76,0.0737,1,0,0,0,0,0
Shaco,Assassin,JUNGLE,5,62.92,3.87,0.5166,0.8267,0.0598,2.75,0.1716,0,0,1,0,0,0
Shaco,Assassin,SUPPORT,3,43.5,3.21,0.5204,0.1417,0.0103,2.44,0.1716,0,0,1,0,0,0
Shen,Tank,TOP,6,88.45,20.45,0.5274,0.8785,0.0634,2.98,0.0206,0,0,0,0,1,0
Shyvana,Fighter,JUNGLE,2,35.87,-5.1,0.4872,0.8259,0.0149,2.45,0.0025,1,0,0,0,0,0
Shyvana,Fighter,TOP,1,23.83,-11.61,0.4983,0.1259,0.0021,1.88,0.0026,1,0,0,0,0,0
Singed,Tank,TOP,3,39.17,-0.57,0.5095,0.771,0.0165,2.04,0.0042,0,0,0,0,1,0
Sion,Tank,TOP,4,52.81,4.16,0.5127,0.8401,0.037,1.63,0.007,0,0,0,0,1,0
Sivir,Marksman,ADC,3,39.74,1.71,0.5104,0.9768,0.0269,2.53,0.0046,0,0,0,1,0,0
Skarner,Fighter,JUNGLE,2,33.16,-7.62,0.4783,0.76,0.0074,2.76,0.0016,1,0,0,0,0,0
Skarner,Fighter,TOP,1,23.89,-6.83,0.489,0.2221,0.0018,2.22,0.0016,1,0,0,0,0,0
Sona,Support,SUPPORT,4,57.27,-2.71,0.5285,0.9798,0.0494,2.98,0.01,0,0,0,0,0,1
Soraka,Support,SUPPORT,5,62.15,-1.48,0.5228,0.9657,0.0725,2.79,0.0408,0,0,0,0,0,1
Swain,Mage,MID,3,44.02,4.28,0.523,0.113,0.004,2.67,0.0176,0,1,0,0,0,0
Swain,Mage,ADC,3,41.33,2.36,0.5312,0.2143,0.0055,2.85,0.0176,0,1,0,0,0,0
Swain,Mage,SUPPORT,3,40.06,-1.79,0.4889,0.6201,0.0254,2.24,0.0161,0,1,0,0,0,0
Sylas,Mage,MID,4,58.98,0.78,0.4956,0.7503,0.0695,2.14,0.0424,0,1,0,0,0,0
Sylas,Mage,TOP,2,33.03,-5.81,0.4786,0.2117,0.0198,1.86,0.0424,0,1,0,0,0,0
Syndra,Mage,MID,4,49.27,2.47,0.4935,0.8961,0.0424,2.26,0.0116,0,1,0,0,0,0
Tahm Kench,Support,TOP,6,91.8,21.07,0.5128,0.9257,0.0648,2.6,0.1624,0,0,0,0,0,1
Taliyah,Mage,SUPPORT,3,42.4,2.15,0.536,0.1508,0.0026,2.1,0.0018,0,1,0,0,0,0
Taliyah,Mage,MID,2,38.86,0,0.5043,0.1658,0.0025,2.47,0.0019,0,1,0,0,0,0
Taliyah,Mage,JUNGLE,2,36.79,-5.52,0.4922,0.6473,0.0118,2.61,0.0019,0,1,0,0,0,0
Talon,Assassin,JUNGLE,5,61.2,-11.56,0.4965,0.7379,0.0645,2.41,0.2159,0,0,1,0,0,0
Talon,Assassin,MID,3,43.48,1.37,0.4927,0.2514,0.0214,2.17,0.2159,0,0,1,0,0,0
Taric,Support,SUPPORT,3,42.25,5.02,0.5053,0.8939,0.0129,2.82,0.0016,0,0,0,0,0,1
Teemo,Marksman,TOP,5,62.74,-5.25,0.4911,0.8436,0.0491,1.71,0.096,0,0,0,1,0,0
Thresh,Support,SUPPORT,5,69.49,-2.82,0.4888,0.994,0.1227,2.57,0.0642,0,0,0,0,0,1
Tristana,Marksman,ADC,3,40.29,-0.82,0.492,0.8749,0.0535,2.24,0.0239,0,0,0,1,0,0
Tristana,Marksman,MID,2,35.1,0,0.4932,0.102,0.0048,2,0.0239,0,0,0,1,0,0
Trundle,Fighter,JUNGLE,4,55.13,1.44,0.5285,0.6299,0.0386,2.84,0.026,1,0,0,0,0,0
Trundle,Fighter,TOP,3,44.04,3.38,0.5278,0.3117,0.0184,1.83,0.026,1,0,0,0,0,0
Tryndamere,Fighter,TOP,6,76.6,11.36,0.51,0.8271,0.0576,1.89,0.1272,1,0,0,0,0,0
Tryndamere,Fighter,MID,2,38.31,-6.63,0.4993,0.1291,0.0082,2.09,0.1272,1,0,0,0,0,0
Twisted Fate,Mage,MID,4,49.57,-0.72,0.4896,0.9459,0.0441,2.34,0.0132,0,1,0,0,0,0
Twitch,Marksman,ADC,4,50.77,1.31,0.5214,0.8144,0.0669,2.42,0.0421,0,0,0,1,0,0
Udyr,Fighter,JUNGLE,2,36.98,-5.24,0.4861,0.9502,0.0173,2.55,0.0061,1,0,0,0,0,0
Urgot,Fighter,TOP,5,63.91,13.1,0.5301,0.9614,0.041,2,0.0201,1,0,0,0,0,0
Varus,Marksman,ADC,1,31.43,-1.14,0.4809,0.9208,0.0236,2.3,0.0019,0,0,0,1,0,0
Vayne,Marksman,ADC,5,72.55,-10.08,0.5199,0.8585,0.136,2.19,0.2228,0,0,0,1,0,0
Vayne,Marksman,TOP,3,41.86,-10.49,0.5127,0.1263,0.0186,1.53,0.2228,0,0,0,1,0,0
Veigar,Mage,MID,4,46.97,-4.8,0.4894,0.7145,0.0379,2.26,0.0126,0,1,0,0,0,0
Veigar,Mage,ADC,2,36.29,-0.33,0.5196,0.1447,0.0064,2.4,0.0136,0,1,0,0,0,0
Veigar,Mage,SUPPORT,1,31.56,0.56,0.475,0.1284,0.0073,2.02,0.0136,0,1,0,0,0,0
Vel'Koz,Mage,MID,3,45.01,-1.07,0.5146,0.4165,0.0119,2.67,0.0052,0,1,0,0,0,0
Vel'Koz,Mage,SUPPORT,3,39.16,-1.85,0.4944,0.5629,0.0196,2.17,0.0055,0,1,0,0,0,0
Vex,Mage,MID,6,76.85,10.71,0.5076,0.8452,0.0915,2.48,0.1925,0,1,0,0,0,0
Vex,Mage,SUPPORT,1,30.31,-6.68,0.4555,0.1319,0.0144,1.99,0.1925,0,1,0,0,0,0
Vi,Fighter,JUNGLE,4,58.46,-3.59,0.522,0.9444,0.0589,2.45,0.0312,1,0,0,0,0,0
Viego,Assassin,JUNGLE,6,82.48,0.59,0.4974,0.9484,0.1303,2.46,0.1422,0,0,1,0,0,0
Viktor,Mage,MID,6,81.46,-0.14,0.511,0.8498,0.1055,2.35,0.16,0,1,0,0,0,0
Viktor,Mage,TOP,2,37.59,-11.51,0.498,0.1316,0.0165,1.88,0.16,0,1,0,0,0,0
Vladimir,Mage,MID,4,55.71,5.34,0.5158,0.7442,0.0437,2.45,0.0572,0,1,0,0,0,0
Vladimir,Mage,TOP,2,32.87,-6.05,0.4912,0.2357,0.0137,2.03,0.0572,0,1,0,0,0,0
Volibear,Fighter,JUNGLE,3,39.63,1.84,0.4923,0.417,0.0219,2.5,0.0148,1,0,0,0,0,0
Volibear,Fighter,TOP,1,32.21,-8.58,0.4611,0.5603,0.0258,1.79,0.0148,1,0,0,0,0,0
Warwick,Fighter,JUNGLE,4,52.78,-3.57,0.4976,0.7358,0.0584,2.25,0.056,1,0,0,0,0,0
Warwick,Fighter,TOP,1,31.35,-7.37,0.4936,0.2485,0.012,1.94,0.056,1,0,0,0,0,0
Wukong,Fighter,TOP,3,43.24,-1.75,0.5056,0.7866,0.0222,2.12,0.0061,1,0,0,0,0,0
Wukong,Fighter,JUNGLE,2,32.92,-4.87,0.488,0.1419,0.0038,2.54,0.0062,1,0,0,0,0,0
Xayah,Marksman,ADC,3,40.54,1.61,0.5067,0.9876,0.0387,2.37,0.0053,0,0,0,1,0,0
Xerath,Mage,MID,4,53.25,5.16,0.5101,0.3811,0.0297,3.17,0.0553,0,1,0,0,0,0
Xerath,Mage,SUPPORT,4,49.68,-5.49,0.4984,0.5629,0.0476,2.54,0.0553,0,1,0,0,0,0
Xin Zhao,Fighter,JUNGLE,4,57.04,1.14,0.5023,0.962,0.0676,2.44,0.0418,1,0,0,0,0,0
Yasuo,Fighter,MID,6,86.16,-0.04,0.4956,0.7144,0.1177,1.74,0.2441,1,0,0,0,0,0
Yasuo,Fighter,TOP,3,39.96,-14.89,0.4777,0.1635,0.0253,1.45,0.2441,1,0,0,0,0,0
Yasuo,Fighter,ADC,2,34.41,-3.91,0.5052,0.117,0.0182,1.95,0.2441,1,0,0,0,0,0
Yone,Assassin,MID,5,74.16,-7.47,0.4842,0.6052,0.0935,1.84,0.2732,0,0,1,0,0,0
Yone,Assassin,TOP,5,71.87,-20.17,0.4759,0.3777,0.0542,1.58,0.2732,0,0,1,0,0,0
Yorick,Fighter,TOP,3,46.07,-0.42,0.513,0.9677,0.0274,1.65,0.0226,1,0,0,0,0,0
Yuumi,Support,SUPPORT,6,79.72,-2.67,0.4777,0.9912,0.1075,4.11,0.2868,0,0,0,0,0,1
Zac,Tank,JUNGLE,4,57.82,-0.01,0.5143,0.849,0.0439,3.61,0.0211,0,0,0,0,1,0
Zed,Assassin,MID,6,90.5,-0.27,0.5087,0.6721,0.0884,2.31,0.4188,0,0,1,0,0,0
Zed,Assassin,JUNGLE,4,49.18,-5.06,0.4863,0.2994,0.0334,2.47,0.4188,0,0,1,0,0,0
Ziggs,Mage,ADC,3,43.63,-0.16,0.5351,0.6866,0.022,2.51,0.006,0,1,0,0,0,0
Ziggs,Mage,MID,2,36.44,-0.6,0.4837,0.2485,0.0086,2.36,0.006,0,1,0,0,0,0
